latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,date_end,date_complete,brightness,bright_t31
44.8279,-1.15706,329.55,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.72,4.21,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82801,-1.16372,316.86,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.75,4.21,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82804,-1.11102,334.68,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,279.88,61.34,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82812,-1.17038,307.55,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.72,1.08,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82819,-1.1177,355.14,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,284.1,61.34,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82823,-1.17706,300.73,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.88,1.08,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82834,-1.12442,343.08,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,302.01,76.43,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82849,-1.13115,347.11,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,302.03,76.43,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82864,-1.13785,351.71,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,304.71,40.49,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82878,-1.14451,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,288.69,40.49,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82893,-1.1512,337.69,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.33,5.18,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
